id,tel,car_company,vin,model
1,(483) 2073226,Audi,WAU3VAFR4CA978698,2008
2,(662) 5382281,Jeep,3C63DRLL8CG391093,2012
3,(778) 2013237,Volkswagen,1G6KE54Y62U864900,2007
4,(177) 2008167,Chevrolet,WBXPA93456W707537,2001
5,(709) 7374425,Porsche,3C3CFFER3ET938546,1997
6,(596) 5832154,Pontiac,2G61M5S31E9662344,1992
7,(265) 4579848,Toyota,2G4WD532X51637557,2008
8,(543) 8809692,Chevrolet,1G6KD57Y38U641639,2011
9,(550) 3024100,Suzuki,1G6DM56T150462209,2004
10,(272) 5675386,Dodge,1C3CCBAB2CN349351,1998
11,(729) 1416126,Lexus,WAUJGBFC0DN010689,2002
12,(650) 9660655,Volkswagen,1G4HP54K554482046,1987
13,(101) 4850206,Nissan,1G6AC5SX7E0005936,1994
14,(398) 2330511,Buick,5N1AN0NW2DN124438,1985
15,(619) 7674679,Toyota,WAUCFAFR0DA245613,1996
